incident_id,date,time,year,month,day_of_week,hour,crime_type,location_text,road_id,road_name,area,thana,latitude,longitude,source,source_url,source_type,victim_type,weapon,suspect_count,vehicle_used,description,location_precision,verification_status,confidence
DHK-2023-1197,2023-01-01,20:20,2023,1,Sunday,20,Robbery,Rampura - in front of the commercial complex at Rampura,ROAD_23,Hatirjheel Bypass (Rampura to Karwan Bazar),Rampura,Rampura,23.762211,90.422816,Daily Sun,https://www.daily-sun.com/post/crime/incident-2023-01-1197,news,University student,Sharp knife (Chhuri),2,Motorcycle (Pulsar/FZ),Police blotter recorded a swift snatching incident in front of the commercial complex at Rampura during Sunday night hours.,EXACT,VERIFIED,0.83
DHK-2023-0608,2023-01-02,13:59,2023,1,Monday,13,Snatching,Nilkhet - near Nilkhet bus stop,ROAD_52,New Market to Sadarghat Riverfront Connector,Nilkhet,New Market,23.731988,90.38485,Prothom Alo,https://en.prothomalo.com/bangladesh/crime-and-law/incident-2023-01-0608,news,University student,Sharp knife (Chhuri),3,Motorcycle (Pulsar/FZ),Police blotter recorded a swift snatching incident near Nilkhet bus stop during Monday night hours.,EXACT,VERIFIED,0.86
DHK-2023-1082,2023-01-02,21:03,2023,1,Monday,21,Snatching,Dhanmondi - near the intersection approaching Mohammadpur Town Hall,ROAD_05,Dhanmondi 27 Inner Connector,Dhanmondi,Dhanmondi,23.754945,90.36786,Daily Sun,https://www.daily-sun.com/post/crime/incident-2023-01-1082,news,Motorcyclist,Sharp knife (Chhuri),4,Motorcycle (Pulsar/FZ),"Muggers armed with a sharp knife (chhuri) intercepted a motorcyclist near the intersection approaching Mohammadpur Town Hall, fleeing with cash and bag.",EXACT,VERIFIED,0.97
DHK-2023-0906,2023-01-04,05:19,2023,1,Wednesday,5,Snatching,Airport - in front of the commercial complex at Airport,ROAD_40,Dhaka-Mymensingh Hwy (Airport to Jasimuddin),Airport,Airport,23.851764,90.407275,bdnews24,https://bdnews24.com/bangladesh/incident-2023-01-0906,news,Female commuter,Firearm / Pistol,2,Motorcycle (Pulsar/FZ),"Muggers armed with a firearm / pistol intercepted a female commuter in front of the commercial complex at Airport, fleeing with cash and bag.",EXACT,VERIFIED,0.87
DHK-2023-1229,2023-01-04,12:39,2023,1,Wednesday,12,Robbery,Mirpur - under the Mirpur footover bridge,ROAD_31,Mirpur-1 to Mirpur-10 Connector,Mirpur,Mirpur,23.802129,90.362434,Dhaka Tribune,https://www.dhakatribune.com/bangladesh/crime/incident-2023-01-1229,news,Rickshaw passenger,Paper cutter,2,Motorcycle (Pulsar/FZ),A rickshaw passenger had their smartphone snatched by 2 perpetrators on a motorcycle (pulsar/fz) under the Mirpur footover bridge around 12:39.,ROAD,PROBABLE,0.8
DHK-2023-0104,2023-01-06,01:17,2023,1,Friday,1,Mugging,Dhanmondi - near Dhanmondi bus stop,ROAD_10,Science Lab to Nilkhet / New Market,Dhanmondi,New Market,23.733707,90.383707,Prothom Alo,https://en.prothomalo.com/bangladesh/crime-and-law/incident-2023-01-0104,news,Small shopkeeper,Firearm / Pistol,2,CNG auto-rickshaw,A small shopkeeper had their smartphone snatched by 2 perpetrators on a cng auto-rickshaw near Dhanmondi bus stop around 01:17.,EXACT,PROBABLE,0.78
DHK-2023-0895,2023-01-07,08:29,2023,1,Saturday,8,Snatching,Malibagh - near Malibagh bus stop,ROAD_48,Mouchak to Kakrail Road,Malibagh,Shahjahanpur,23.739977,90.407784,Dhaka Tribune,https://www.dhakatribune.com/bangladesh/crime/incident-2023-01-0895,news,Pedestrian,Unarmed / Speed snatch,3,Motorcycle (Pulsar/FZ),Reported incident of snatching involving a pedestrian at near Malibagh bus stop. Suspects fled using a motorcycle (pulsar/fz).,AREA,PROBABLE,0.97
DHK-2023-1210,2023-01-07,23:19,2023,1,Saturday,23,Snatching,Mogbazar - near Mogbazar bus stop,ROAD_46,Mogbazar to Mouchak Flyover,Mogbazar,Ramna,23.749089,90.406684,DMP Monthly Blotter,https://dmp.gov.bd/crime-statistics/incident-2023-01-1210,police_report,Small shopkeeper,Sharp knife (Chhuri),4,Motorcycle (Pulsar/FZ),Police blotter recorded a swift snatching incident near Mogbazar bus stop during Saturday night hours.,INTERSECTION,VERIFIED,0.77
DHK-2023-0965,2023-01-08,14:10,2023,1,Sunday,14,Snatching,Mohammadpur - near the intersection approaching Asad Gate,ROAD_54,Mohammadpur Town Hall to Asad Gate,Mohammadpur,Mohammadpur,23.759683,90.367224,Daily Sun,https://www.daily-sun.com/post/crime/incident-2023-01-0965,news,Motorcyclist,Firearm / Pistol,2,Motorcycle (Pulsar/FZ),Reported incident of snatching involving a motorcyclist at near the intersection approaching Asad Gate. Suspects fled using a motorcycle (pulsar/fz).,EXACT,VERIFIED,0.82
DHK-2023-0392,2023-01-09,23:33,2023,1,Monday,23,Snatching,Mirpur - under the Mirpur footover bridge,ROAD_31,Mirpur-1 to Mirpur-10 Connector,Mirpur,Mirpur,23.803867,90.364635,DMP Monthly Blotter,https://dmp.gov.bd/crime-statistics/incident-2023-01-0392,police_report,University student,Sharp knife (Chhuri),3,Motorcycle (Pulsar/FZ),"Muggers armed with a sharp knife (chhuri) intercepted a university student under the Mirpur footover bridge, fleeing with cash and bag.",EXACT,VERIFIED,0.92
